ClassID,StudentID,KumonGradeLevel,LineNumber,AssignDate,AssignNumber,Location,WkFrom,WkTo,WkTime,Wk1Score,Wk2Score,Wk3Score,Wk4Score,Wk5Score,Wk6Score,Wk7Score,Wk8Score,Wk9Score,Wk10Score,NCOR,Comments,Status
02210274,8401950873614,BII,1,17-Mar-20,1,H,18,20,,,,,,,,,,,,,,0
02210274,8401950620607,AI,4,06-Apr-20,1,C,41,45,,,,,,,,,,,,,,0
02210274,8401950873614,BII,3,09-Apr-20,1,C,45,47,,,,,,,,,,,,,,0
02210274,8401850359942,BI,6,25-Mar-20,1,H,171,174,,,,,,,,,,,,,,0
02210274,8401750219414,AII,7,05-Apr-20,1,H,101,105,,,,,,,,,,,,,,0
02210274,8401950306778,AII,1,30-Mar-20,1,C,6,10,,,,,,,,,,,,,,2
02210274,8401851064210,BII,1,17-Mar-20,1,H,26,30,25,0,0,0,0,0,100,100,70,100,100,0,,1
02210274,8401950957857,BII,1,17-Mar-20,1,H,126,130,,,,,,,,,,,,,,0
02210274,8401750033423,BII,5,05-Apr-20,2,H,181,182,,,,,,,,,,,,,,0
02210274,8401950022036,BI,2,17-Mar-20,1,H,21,25,,,,,,,,,,,,,,0
02210274,8401951204301,BII,3,21-Feb-20,1,H,71,80,15,100,70,100,100,90,100,90,100,100,100,0,,1
02210274,8401850286880,BII,3,02-Mar-20,1,C,196,198,,,,,,,,,,,,,,0
02210274,8401950021985,BII,4,16-Mar-20,1,H,191,195,,,,,,,,,,,,,,0
02210274,8401950734984,AI,5,24-Feb-20,1,C,91,95,13,100,100,80,80,80,0,0,0,0,0,0,stephanie: had trouble understanding past and present.,1
02210274,8401850850845,AI,2,23-Feb-20,1,H,51,54,19,100,100,100,80,0,0,0,0,0,0,0,did as cw instead. worked well and independently. i was focused on the other student he worked on hi,1
02210274,8401950873577,AI,3,03-Mar-20,1,H,101,105,19,100,100,100,100,80,0,0,0,0,0,0,,1
02210274,8401850800666,AI,2,06-Apr-20,1,H,126,130,,,,,,,,,,,,,,0
02210274,8401650854982,CI,4,16-Feb-20,1,H,111,114,,,,,,,,,,,,,,2
02210274,8402050085747,BI,1,24-Mar-20,1,H,21,30,,,,,,,,,,,,,,0
02210274,8401650854982,CI,4,04-Mar-20,1,H,141,144,,,,,,,,,,,,,,0
02210274,8401950224614,AII,2,26-Feb-20,1,H,121,125,10,100,100,69,70,69,0,0,0,0,0,0,,1
02210274,8401650854982,CI,4,13-Mar-20,1,H,171,174,,,,,,,,,,,,,,0
02210274,8401850524067,BI,1,04-Mar-20,1,H,85,87,7,0,0,0,0,100,100,100,0,0,0,0,,1
02210274,8401950224560,CI,1,06-Apr-20,1,C,5,7,,,,,,,,,,,,,,0
02210274,8401650855019,BI,5,05-Mar-20,1,H,91,94,,,,,,,,,,,,,,0
02210274,8401951091413,AI,1,03-Mar-20,1,H,11,20,,,,,,,,,,,,,,0
02210274,8401950620492,AII,1,20-Feb-20,1,H,26,30,0,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401950224614,AII,2,23-Feb-20,1,H,106,110,10,0,0,0,0,0,100,100,100,100,80,0,,1
02210274,8401950443312,CI,6,24-Mar-20,1,H,171,175,,,,,,,,,,,,,,0
02210274,8402050239218,AII,1,08-Apr-20,1,H,1,10,,,,,,,,,,,,,,0
02210274,8401950873607,CI,1,19-Feb-20,1,H,6,10,0,0,0,0,0,0,90,90,100,100,100,0,,1
02210274,8401751179687,CI,2,15-Apr-20,1,H,11,13,,,,,,,,,,,,,,0
02210274,8401950443381,AII,3,24-Feb-20,1,H,146,150,5,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401950021985,BII,3,07-Mar-20,1,H,166,170,0,,,,,,,,,,,0,,2
02210274,8401750219414,AII,5,22-Mar-20,1,H,71,75,,,,,,,,,,,,,,0
02210274,8402050239218,AI,1,05-Apr-20,1,H,171,180,,,,,,,,,,,,,,0
02210274,8402050023534,AI,1,10-Apr-20,1,C,11,20,,,,,,,,,,,,,,0
02210274,8401751179687,BII,6,28-Feb-20,1,H,166,168,0,0,0,0,0,0,69,69,69,0,0,0,,1
02210274,8401950443312,CI,3,26-Feb-20,1,H,106,110,13,0,0,0,0,0,90,90,69,69,69,0,,1
02210274,8401950123689,CI,2,08-Mar-20,1,H,31,35,10,100,70,100,100,100,0,0,0,0,0,0,,1
02210274,8401950957857,CI,1,12-Apr-20,1,H,36,40,,,,,,,,,,,,,,0
02210274,8402050085815,AI,2,08-Apr-20,1,H,131,140,,,,,,,,,,,,,,0
02210274,8401951204301,CI,1,09-Mar-20,1,C,16,20,14,0,0,0,0,0,100,70,69,69,69,0,,1
02210274,8402050085709,BI,1,19-Mar-20,1,H,91,100,,,,,,,,,,,,,,0
02210274,8401750033423,BII,5,03-Apr-20,1,H,174,175,,,,,,,,,,,,,,0
02210274,8401950224560,BII,7,03-Apr-20,1,H,195,197,,,,,,,,,,,,,,0
02210274,8401950620607,AI,1,20-Mar-20,1,H,16,20,,,,,,,,,,,,,,0
02210274,8401950224614,BI,3,04-Apr-20,1,H,46,50,,,,,,,,,,,,,,2
02210274,8401650854982,CI,5,24-Mar-20,1,C,188,190,,,,,,,,,,,,,,0
02210274,8401751179687,CI,2,12-Apr-20,1,H,4,5,,,,,,,,,,,,,,0
02210274,8401950021985,CI,2,27-Mar-20,1,H,26,30,,,,,,,,,,,,,,0
02210274,8401950873539,CI,1,12-Apr-20,1,H,121,125,,,,,,,,,,,,,,0
02210274,8401950443381,BI,1,12-Mar-20,1,H,26,30,0,0,0,0,0,0,90,90,70,100,100,0,,1
02210274,8401950224560,BII,7,31-Mar-20,1,H,185,187,,,,,,,,,,,,,,0
02210274,8401850850845,AI,3,05-Mar-20,1,C,58,60,,,,,,,,,,,,,,0
02210274,8401950873577,AI,4,10-Mar-20,1,H,126,130,17,0,0,0,0,0,100,90,100,90,90,0,,1
02210274,8401850524067,BI,1,26-Mar-20,1,H,158,160,,,,,,,,,,,,,,0
02210274,8401751179687,CI,1,06-Apr-20,1,H,9,10,,,,,,,,,,,,,,0
02210274,8401950224560,BII,5,22-Feb-20,1,H,125,127,47,0,0,0,0,69,90,90,0,0,0,0,,1
02210274,8402050085709,BII,1,02-Apr-20,1,C,31,40,,,,,,,,,,,,,,0
02210274,8401950123689,CI,2,11-Mar-20,1,H,46,50,11,0,0,0,0,0,90,100,100,100,69,0,,1
02210274,8401950123696,BII,5,02-Mar-20,1,C,168,170,,,,,,,,,,,,,,0
02210274,8401950734984,AII,1,12-Apr-20,1,H,56,60,,,,,,,,,,,,,,0
02210274,8401950306778,AI,3,14-Mar-20,1,H,146,150,0,0,0,0,0,0,80,70,70,100,100,0,,1
02210274,8401950620607,AI,4,09-Apr-20,1,C,56,60,,,,,,,,,,,,,,0
02210274,8401650854982,CI,4,01-Mar-20,1,H,131,134,,,,,,,,,,,,,,0
02210274,8401950443381,BI,3,14-Apr-20,1,H,111,115,,,,,,,,,,,,,,0
02210274,8401950224614,AII,2,06-Mar-20,1,H,161,165,15,100,100,70,100,100,0,0,0,0,0,0,,1
02210274,8401850850845,AI,3,19-Mar-20,1,C,105,107,,,,,,,,,,,,,,0
02210274,8401950873577,AI,5,15-Mar-20,1,H,121,125,,,,,,,,,,,,,,2
02210274,8401950873577,AI,6,01-Apr-20,1,H,186,190,,,,,,,,,,,,,,0
02210274,8402050085709,BI,1,09-Mar-20,1,H,1,10,42,100,100,80,100,100,100,100,100,100,100,0,,1
02210274,8401950443312,CI,3,04-Mar-20,1,H,141,145,,,,,,,,,,,,,,0
02210274,8401950443381,BI,2,22-Mar-20,1,H,36,40,21,0,0,0,0,0,90,100,100,100,100,0,,1
02210274,8401950224614,AII,2,28-Feb-20,1,H,131,135,0,100,100,100,100,100,0,0,0,0,0,0,,1
02210274,8401950873577,AI,2,17-Feb-20,1,H,76,80,15,0,0,0,0,0,100,100,100,70,100,0,,1
02210274,8401751179687,BII,6,22-Feb-20,1,H,154,155,0,0,0,0,69,69,0,0,0,0,0,0,,1
02210274,8401951204301,CI,1,20-Mar-20,1,H,71,75,7,100,90,69,90,0,0,0,0,0,0,0,,2
02210274,8401950873577,AI,7,07-Apr-20,1,H,196,200,,,,,,,,,,,,,,0
02210274,8401950224560,BII,6,20-Mar-20,1,H,168,170,,,,,,,,,,,,,,0
02210274,8401850523923,BI,4,23-Feb-20,1,H,96,100,0,0,0,0,0,0,100,80,100,70,100,0,,1
02210274,8402050239218,AI,1,27-Mar-20,1,H,81,90,,,,,,,,,,,,,,0
02210274,8401951204264,CI,1,31-Mar-20,1,H,61,65,,,,,,,,,,,,,,0
02210274,8401850850845,AI,4,25-Mar-20,1,H,75,77,,,,,,,,,,,,,,0
02210274,8401750033423,BII,5,12-Apr-20,1,H,200,200,,,,,,,,,,,,,,0
02210274,8401950022036,BI,1,10-Mar-20,1,C,6,10,16,0,0,0,0,0,70,100,69,100,100,0,,1
